WBANNO,LST_YRMO,CRX_VN_MONTHLY,PRECISE_LONGITUDE,PRECISE_LATITUDE,T_MONTHLY_MAX,T_MONTHLY_MIN,T_MONTHLY_MEAN,T_MONTHLY_AVG,P_MONTHLY_CALC,SOLRAD_MONTHLY_AVG,SUR_TEMP_MONTHLY_TYPE,SUR_TEMP_MONTHLY_MAX,SUR_TEMP_MONTHLY_MIN,SUR_TEMP_MONTHLY_AVG
3047,20240127,2.622,-102.81,31.62,16.3,3.1,9.7,9.3,0,14.6,C,21.5,1.1,9
3047,20240128,2.622,-102.81,31.62,18.2,1.2,9.7,9.4,0,14.92,C,22.9,-1,8.5
3047,20240129,2.622,-102.81,31.62,19.7,2.9,11.3,11,0,14.47,C,24.3,0.3,10.2
3047,20240130,2.622,-102.81,31.62,20.7,4.3,12.5,12,0,14.21,C,25.6,2.2,11.5
3047,20240131,2.622,-102.81,31.62,19.5,7.1,13.3,12.7,0,10,C,21.9,4.4,11.6
3047,20240201,2.622,-102.81,31.62,-9999,-9999,-9999,-9999,0,-9999,U,-9999,-9999,-9999
3047,20240202,2.622,-102.81,31.62,25.3,10.9,18.1,15.3,0,12.18,C,29.8,6.8,13.6
3047,20240203,2.622,-102.81,31.62,16.7,7,11.8,11.8,0,15.29,C,19.5,3.4,9.9
3047,20240204,2.622,-102.81,31.62,18.2,6.8,12.5,11.9,0,15.97,C,21,3,9.8
3047,20240205,2.622,-102.81,31.62,16.2,1.1,8.6,9.1,0,15.88,C,24.8,-0.9,9.2
3047,20240206,2.622,-102.81,31.62,17.2,4.9,11,11.5,0,10.14,C,23.1,1.8,10.2
3047,20240207,2.622,-102.81,31.62,19.5,8.9,14.2,13,0,6.85,C,23.1,6.1,11.5
3047,20240208,2.622,-102.81,31.62,16.8,6.7,11.7,11.5,0,10.81,C,19.2,2.6,9.3
3047,20240209,2.622,-102.81,31.62,17.3,4.6,11,11.3,0,8.25,C,21.6,2.7,10
3047,20240210,2.622,-102.81,31.62,20.2,4.9,12.5,13.5,1,15.66,C,28.5,2.3,13.6
3047,20240211,2.622,-102.81,31.62,9.7,2.6,6.1,6,0,7,C,16.8,1.4,6.1
3047,20240212,2.622,-102.81,31.62,15.6,-3.3,6.1,5.9,0,17.27,C,21.9,-4.8,6
3047,20240213,2.622,-102.81,31.62,20.9,0.5,10.7,10.2,0,17.52,C,26.9,-2.4,9.4
3047,20240214,2.622,-102.81,31.62,24.2,3.4,13.8,13.1,0,17.6,C,28.4,-0.4,11.8
3047,20240215,2.622,-102.81,31.62,22.6,2.3,12.5,12.7,0,12.33,C,28.7,0.5,11.8
3047,20240216,2.622,-102.81,31.62,21.5,4.4,12.9,12.2,0,13.86,C,26.4,1.8,11.5
3047,20240217,2.622,-102.81,31.62,6.5,-1.8,2.3,2.4,0,15.79,C,15.8,-3.3,4.1
3047,20240218,2.622,-102.81,31.62,13.2,-6.3,3.4,4,0,17.39,C,20.2,-7.2,5.3
3047,20240219,2.622,-102.81,31.62,24.8,-0.3,12.3,12.8,0,18.28,C,30.2,-2.7,11.8
3047,20240220,2.622,-102.81,31.62,29.3,4.7,17,16.8,0,18.42,C,34.1,2.2,15.2
3047,20240221,2.622,-102.81,31.62,33.6,6.3,19.9,19.2,0,16.64,C,36.3,3,17.4
3047,20240222,2.622,-102.81,31.62,24.4,4.9,14.7,16.2,0,18.77,C,29.9,3,14.9
3047,20240223,2.622,-102.81,31.62,19.7,5.1,12.4,13,0,15.28,C,27.5,2.7,13
3047,20240224,2.622,-102.81,31.62,26.3,5.2,15.7,15.6,0,18.97,C,32.3,2.4,15.5
3047,20240225,2.622,-102.81,31.62,30.4,4.3,17.4,18.5,0,18.43,C,35.7,2.6,17.9
3047,20240226,2.622,-102.81,31.62,31.4,8.9,20.1,20.9,0,14.59,C,37.4,7.1,20
3047,20240227,2.622,-102.81,31.62,28.1,15.3,21.7,21.4,0,7.84,C,31.5,12.9,19.8
3047,20240228,2.622,-102.81,31.62,20.1,2.3,11.2,8.8,7.5,6.27,C,17.8,2.3,9.3
3047,20240229,2.622,-102.81,31.62,12.9,1.9,7.4,6.6,6.6,18.48,C,18.5,0.7,7.9
3047,20240301,2.622,-102.81,31.62,24.9,3.4,14.1,13.5,0,20.27,C,27.9,1.5,12.2
3047,20240302,2.622,-102.81,31.62,27,4.9,16,16.4,0,19.82,C,31,2.6,14.7
3047,20240303,2.622,-102.81,31.62,26.2,6.7,16.4,17.7,0,16.37,C,29.5,3.8,14.6
3047,20240304,2.622,-102.81,31.62,25.3,6.2,15.7,17.2,0,18.05,C,30.7,3.6,15
3047,20240305,2.622,-102.81,31.62,25.1,4.6,14.9,16.6,0,20.61,C,32.1,2.8,15.6
3047,20240306,2.622,-102.81,31.62,25.7,8.3,17,17.2,0,16.59,C,36,6,17.2
3047,20240307,2.622,-102.81,31.62,25.3,12.3,18.8,18.6,0,12.39,C,30.6,8.4,18.1
3047,20240308,2.622,-102.81,31.62,18.1,5.2,11.6,11.9,0,18.36,C,27.6,3.4,12.4
3047,20240309,2.622,-102.81,31.62,13.3,0.1,6.7,6.4,0,16.63,C,23.5,-1.4,8.2
3047,20240310,2.622,-102.81,31.62,18.3,0.4,9.3,9.9,0,21.14,C,28.9,-1.2,11.5
3047,20240311,2.622,-102.81,31.62,24,3.6,13.8,14.4,0,21.58,C,32.6,1.3,15.6
3047,20240312,2.622,-102.81,31.62,28.5,11.2,19.8,18.3,0,18.4,C,35,8.6,18.3
3047,20240313,2.622,-102.81,31.62,28.8,8.4,18.6,18.8,0,21.89,C,34.3,5.2,17.8
3047,20240314,2.622,-102.81,31.62,27.3,10.7,19,19.4,0,22.01,C,38.2,8,20.3
3047,20240315,2.622,-102.81,31.62,18.6,8.5,13.5,10.9,3.9,2.62,C,16.4,8.3,10.8
3047,20240316,2.622,-102.81,31.62,14.7,8.9,11.8,11.2,2.2,5.63,C,18.8,9.1,12
3047,20240317,2.622,-102.81,31.62,15.3,9.6,12.5,11.7,0,7.85,C,22.9,7.5,12.2
3047,20240318,2.622,-102.81,31.62,17.3,9.6,13.5,12.9,0,13.04,C,25.2,7.7,13.7
3047,20240319,2.622,-102.81,31.62,21.3,8,14.6,14.1,0,21,C,29.7,6.1,15.9
3047,20240320,2.622,-102.81,31.62,24.6,7.1,15.8,14.9,4.6,16.53,C,32.8,5.9,16.7
3047,20240321,2.622,-102.81,31.62,23.7,9.3,16.5,16.2,0,19.89,C,33.3,7.6,16.4
3047,20240322,2.622,-102.81,31.62,27.8,6.4,17.1,17.9,0,23.29,C,39.1,5.5,18.5
3047,20240323,2.622,-102.81,31.62,24.8,11.3,18.1,17.7,0,12.28,C,28.9,10.1,17.2
3047,20240324,2.622,-102.81,31.62,26.5,12.9,19.7,18.4,0,21.1,C,34,10.6,18.9
3047,20240325,2.622,-102.81,31.62,19.7,10.2,14.9,14.4,0,21.54,C,28.6,7.5,14.9
3047,20240326,2.622,-102.81,31.62,18.7,1.8,10.2,10.7,0,20.19,C,28.4,0.2,11.9
3047,20240327,2.622,-102.81,31.62,21.3,4,12.6,13.1,0,22.65,C,29.9,0.8,13.7
3047,20240328,2.622,-102.81,31.62,27.5,4.4,16,16.7,0,24.85,C,36.6,1.8,17.8
3047,20240329,2.622,-102.81,31.62,30.5,13.4,21.9,20.9,0,15.95,C,36.9,10.6,20.6
3047,20240330,2.622,-102.81,31.62,30.4,13,21.7,21.7,0,18.62,C,38.6,10.5,22.5
3047,20240331,2.622,-102.81,31.62,30.5,16.9,23.7,22.6,0,6.34,C,30.5,15.5,21.5
3047,20240401,2.622,-102.81,31.62,27.4,13.6,20.5,20.3,0,16.97,C,34.4,10.8,20.8
3047,20240402,2.622,-102.81,31.62,19.9,7.3,13.6,13.5,0,21.22,C,29.2,4.3,14.5
3047,20240403,2.622,-102.81,31.62,26.2,2.2,14.2,15.7,0,25.42,C,37.6,1.3,17.6
3047,20240404,2.622,-102.81,31.62,29.4,6.3,17.8,19.5,0,25.84,C,41.1,3.9,21.2
3047,20240405,2.622,-102.81,31.62,30.9,12.6,21.8,22.5,0,25.16,C,38,9.1,22.8
3047,20240406,2.622,-102.81,31.62,26.1,14.3,20.2,20.6,0,24.41,C,33.9,11.7,21.2
3047,20240407,2.622,-102.81,31.62,26.3,2.2,14.2,16.2,0,26.15,C,34.5,0.8,17.2
3047,20240408,2.622,-102.81,31.62,29.2,6.8,18,19.4,0,19.34,C,37.5,4.6,20.2
3047,20240409,2.622,-102.81,31.62,19.6,8,13.8,14.4,0,15.93,C,25.4,6.7,15.8
3047,20240410,2.622,-102.81,31.62,23.5,5.5,14.5,14.5,0,25.96,C,30.7,4.2,16.3
3047,20240411,2.622,-102.81,31.62,28,5.3,16.7,18.1,0,26.17,C,37.2,3.8,20.1
3047,20240412,2.622,-102.81,31.62,30,14.2,22.1,22.2,0,20.95,C,36.1,11.9,22.3
3047,20240413,2.622,-102.81,31.62,33.7,15.9,24.8,24.5,0,25.51,C,45.3,13.6,26.9
3047,20240414,2.622,-102.81,31.62,35.4,15,25.2,25.7,0,24.68,C,45.9,13.1,27.7
3047,20240415,2.622,-102.81,31.62,35.4,18.8,27.1,26.1,0,13.43,C,39.3,17.4,25.9
3047,20240416,2.622,-102.81,31.62,31.2,11.4,21.3,22.1,0,27.64,C,39.1,9,23.2
3047,20240417,2.622,-102.81,31.62,34.1,11.9,23,23.2,0,23.37,C,41.3,9.7,24.2
3047,20240418,2.622,-102.81,31.62,33,12,22.5,23.4,0.3,27.07,C,44.8,9.9,25.5
3047,20240419,2.622,-102.81,31.62,20.2,12.3,16.2,15.9,0,12.25,C,29.3,13.3,17.8
3047,20240420,2.622,-102.81,31.62,17.2,9,13.1,11.9,3.7,4.49,C,17.1,9.5,12.5
3047,20240421,2.622,-102.81,31.62,16.2,7.2,11.7,11.6,0.6,12.43,C,23.5,7.4,13.2
3047,20240422,2.622,-102.81,31.62,26.9,10.1,18.5,17.9,0,24.09,C,34.6,8.3,19.8
3047,20240423,2.622,-102.81,31.62,35.6,12.7,24.1,22.9,0,25.86,C,46.7,11.1,25.7
3047,20240424,2.622,-102.81,31.62,34.2,16.6,25.4,24.7,0,22.74,C,45.4,15.3,27.3
3047,20240425,2.622,-102.81,31.62,34.7,20.6,27.6,25.8,0,22.02,C,44.5,19.4,27.6
3047,20240426,2.622,-102.81,31.62,31.3,13.9,22.6,23.4,0,27.89,C,38.1,11.5,24.1
3047,20240427,2.622,-102.81,31.62,31.4,14.3,22.8,23.1,0,25.43,C,42.1,12.3,25.1
3047,20240428,2.622,-102.81,31.62,28.8,8.8,18.8,20.2,0,28.41,C,38,6.9,22.7
3047,20240429,2.622,-102.81,31.62,31.6,7,19.3,21.7,0,28.35,C,41.6,6.6,24.1
3047,20240430,2.622,-102.81,31.62,35.8,18.6,27.2,26.5,0,25.99,C,45.9,16.8,28.9
3047,20240501,2.622,-102.81,31.62,34.5,18.5,26.5,24.9,0,21.5,C,45.1,17.1,26.6
3047,20240502,2.622,-102.81,31.62,34.3,15.2,24.8,24.3,0.4,27.57,C,46,14.7,27
3047,20240503,2.622,-102.81,31.62,35.4,15.7,25.6,25.5,0,25.23,C,48.1,13.5,28.8
3047,20240504,2.622,-102.81,31.62,32.2,17,24.6,22.1,8.1,16.81,C,44.7,15.7,23.7
3047,20240505,2.622,-102.81,31.62,28,16.1,22,21.2,0,17.31,C,35.1,15.4,23
3047,20240506,2.622,-102.81,31.62,34.7,19.5,27.1,26.5,0,28.45,C,40.6,18.2,27.9
3047,20240507,2.622,-102.81,31.62,34.7,13.6,24.2,26,0,28.95,C,41.2,13.4,27.3
3047,20240508,2.622,-102.81,31.62,34.7,18.4,26.6,27,0,28.92,C,41,16.7,27.9
3047,20240509,2.622,-102.81,31.62,34.2,13.8,24,25.8,0,28.92,C,43.9,13.1,27.6
3047,20240510,2.622,-102.81,31.62,25.7,17.5,21.6,20.9,0,9.82,C,31.3,16.9,21.9
3047,20240511,2.622,-102.81,31.62,21.4,16.9,19.1,19.4,0.7,5.82,C,25.3,16.2,19.6
3047,20240512,2.622,-102.81,31.62,33.7,17.3,25.5,24.5,0,25.02,C,40.1,16.5,26.4
3047,20240513,2.622,-102.81,31.62,31.7,11.7,21.7,23.4,0,28.61,C,42,10.7,25.9
3047,20240514,2.622,-102.81,31.62,36.4,15,25.7,27,0,28.81,C,46.9,13.5,29.1
3047,20240515,2.622,-102.81,31.62,34.8,20.8,27.8,28.1,0,22.12,C,41.6,19.4,29.2
3047,20240516,2.622,-102.81,31.62,29.6,13.7,21.6,22.3,0,21,C,40.8,12.1,24
3047,20240517,2.622,-102.81,31.62,31,9.6,20.3,21.3,0,28.01,C,40.5,8.7,24.3
3047,20240518,2.622,-102.81,31.62,38.9,15.2,27.1,28.1,0,29.18,C,48.7,12.9,30
3047,20240519,2.622,-102.81,31.62,41.4,20.7,31.1,31.5,0,29.02,C,49.2,18.6,32.9
3047,20240520,2.622,-102.81,31.62,39.4,19.5,29.4,30.6,0,25.87,C,47.5,17.6,32.2
3047,20240521,2.622,-102.81,31.62,34.7,21.5,28.1,28.8,0,24.31,C,43.9,20.1,30.3
3047,20240522,2.622,-102.81,31.62,35.7,19.8,27.8,28.1,0,28.43,C,44.1,18.2,30.4
3047,20240523,2.622,-102.81,31.62,37.7,19,28.3,28.4,0,30.27,C,43.7,18.1,29.9
3047,20240524,2.622,-102.81,31.62,36.8,14.8,25.8,27.1,0,30.35,C,46.6,12.8,29.1
3047,20240525,2.622,-102.81,31.62,39.9,16.5,28.2,29.6,0,29.68,C,45.9,15.5,30.9
3047,20240526,2.622,-102.81,31.62,37.8,18.1,27.9,29,0,30.48,C,44.4,16.4,30.4
3047,20240527,2.622,-102.81,31.62,39.3,15.2,27.3,29.4,0,30.19,C,47.8,13.4,31.5
3047,20240528,2.622,-102.81,31.62,42.1,22.6,32.3,29.2,0,27.03,C,51,21.1,31.2
3047,20240529,2.622,-102.81,31.62,32.4,19.8,26.1,25.6,0,21.73,C,41.9,19.3,28.3
3047,20240530,2.622,-102.81,31.62,39.3,22.9,31.1,29.1,0,27.7,C,47,21.9,31.4
3047,20240531,2.622,-102.81,31.62,35.9,20.5,28.2,27.7,0,25.42,C,46.2,19.5,30.5
3047,20240601,2.622,-102.81,31.62,33.3,19.2,26.2,25.5,0,19.96,C,39.9,18.4,27.2
3047,20240602,2.622,-102.81,31.62,37.5,20.4,28.9,27.9,0,27,C,46.2,19.3,30.1
3047,20240603,2.622,-102.81,31.62,40.1,21.4,30.8,30.2,0,25.67,C,44.2,20.1,31.2
3047,20240604,2.622,-102.81,31.62,40.1,14.8,27.5,30,0,26.8,C,46.1,13.7,30.4
3047,20240605,2.622,-102.81,31.62,39.9,22.6,31.2,30.9,0,27.66,C,49.4,20.8,33.5
3047,20240606,2.622,-102.81,31.62,39.8,23.4,31.6,31.4,0,27.6,C,46,22.3,33.4
3047,20240607,2.622,-102.81,31.62,39.8,25.3,32.6,32.2,0,27.35,C,47.1,24.3,34
3047,20240608,2.622,-102.81,31.62,40.1,25,32.6,32,0,23.89,C,46.5,24.6,33.9
3047,20240609,2.622,-102.81,31.62,40,22.9,31.4,30.9,0,22.9,C,49.7,22.1,32.9
3047,20240610,2.622,-102.81,31.62,32.9,19.2,26,25.6,0,21.8,C,43.3,18.4,28.4
3047,20240611,2.622,-102.81,31.62,36.9,19.5,28.2,28,0,27.45,C,47.4,18.7,31.1
3047,20240612,2.622,-102.81,31.62,37.3,21.7,29.5,29.3,0,27.93,C,46.6,20.9,32.8
3047,20240613,2.622,-102.81,31.62,39.2,23.7,31.5,31.3,0,28.22,C,46.9,22.7,33.5
3047,20240614,2.622,-102.81,31.62,37.3,25.2,31.2,31.4,0,28.72,C,43.7,24.3,33.2
3047,20240615,2.622,-102.81,31.62,38.8,24.7,31.7,31.4,0,27.03,C,44.5,24.1,33.1
3047,20240616,2.622,-102.81,31.62,40.1,24.9,32.5,32,0,28.11,C,46.9,24.2,33.7
3047,20240617,2.622,-102.81,31.62,39.7,24.6,32.1,31.8,0,28.07,C,45.4,23.9,33.3
3047,20240618,2.622,-102.81,31.62,38.4,24.1,31.3,30.6,0,27.83,C,45.5,23.5,32.4
3047,20240619,2.622,-102.81,31.62,33.8,23.2,28.5,27.9,0,24.96,C,39.3,22.6,29.3
3047,20240620,2.622,-102.81,31.62,28.4,20.8,24.6,24.5,0,11.13,C,33.1,20.7,25.4
3047,20240621,2.622,-102.81,31.62,33.7,22.1,27.9,26.9,0,24.41,C,40.2,21.6,28.6
3047,20240622,2.622,-102.81,31.62,35.1,21.6,28.3,28,0,28.33,C,41.9,20.7,30.1
3047,20240623,2.622,-102.81,31.62,36.8,20.5,28.7,29.1,0,28.9,C,43.7,19.4,31.2
3047,20240624,2.622,-102.81,31.62,38.5,21.3,29.9,30.3,0,27.66,C,46.1,20.4,32.4
3047,20240625,2.622,-102.81,31.62,40.3,25,32.7,32.2,0,27.62,C,48.9,24.3,34.6
3047,20240626,2.622,-102.81,31.62,41.2,26.2,33.7,32.9,0,25.3,C,48.4,26.2,35.1
3047,20240627,2.622,-102.81,31.62,37.3,24.5,30.9,31.2,0,20.33,C,42,23.5,32.3
3047,20240628,2.622,-102.81,31.62,41.3,24.7,33,32.8,0,25.19,C,49.9,23.8,34.9
3047,20240629,2.622,-102.81,31.62,37.6,26.1,31.9,31.7,0,28.24,C,43.1,25.6,33.5
3047,20240630,2.622,-102.81,31.62,37.5,24.3,30.9,30.9,0,27.92,C,42.6,23.6,32.6
3047,20240701,2.622,-102.81,31.62,37.8,24.3,31.1,30.8,0,27.67,C,43.7,23.6,32.6
3047,20240702,2.622,-102.81,31.62,40.8,24.7,32.7,32.1,0,23.51,C,49.6,24,34
3047,20240703,2.622,-102.81,31.62,40,23.5,31.7,31.9,0,26.64,C,48.6,22.7,34.7
3047,20240704,2.622,-102.81,31.62,40.6,24.2,32.4,30.2,0.4,24.03,C,49,22.4,32.6
3047,20240705,2.622,-102.81,31.62,34.7,23.2,29,28.5,0,23.7,C,43,22.7,30.5
3047,20240706,2.622,-102.81,31.62,35.9,22.3,29.1,28.1,0,24.98,C,45.3,22.2,31.2
3047,20240707,2.622,-102.81,31.62,40,21.3,30.6,31,0,28.19,C,47,20.5,33.7
3047,20240708,2.622,-102.81,31.62,32.8,20,26.4,26,0,16.26,C,40.1,20.7,27.5
3047,20240709,2.622,-102.81,31.62,36,21.5,28.8,29.2,0,27.92,C,45.1,20.7,32.1
3047,20240710,2.622,-102.81,31.62,36.4,21.8,29.1,29.3,0,22.13,C,43.7,21.1,31.4
3047,20240711,2.622,-102.81,31.62,36.5,20.9,28.7,29.2,0,27.5,C,43.3,19.7,31.4
3047,20240712,2.622,-102.81,31.62,36.4,20.9,28.6,29.3,0,27.96,C,42.7,20,31.4
3047,20240713,2.622,-102.81,31.62,35.6,21.2,28.4,28.3,0,27.77,C,41.9,20.2,30.4
3047,20240714,2.622,-102.81,31.62,37.8,22.8,30.3,29.3,0,25.27,C,46.4,22.1,31.9
3047,20240715,2.622,-102.81,31.62,38.4,22.9,30.7,30.8,0,27.15,C,45.7,22.2,33
3047,20240716,2.622,-102.81,31.62,38.5,23.3,30.9,31.1,0,27.76,C,45.2,22.6,33.1
3047,20240717,2.622,-102.81,31.62,38.3,23.2,30.8,30.5,0,26.15,C,44.4,22.2,32.4
3047,20240718,2.622,-102.81,31.62,32.3,22.5,27.4,27.1,2.3,12.56,C,36.2,21.3,27.4
3047,20240719,2.622,-102.81,31.62,36.5,19.7,28.1,28.3,0,25.32,C,43.8,18.8,30.5
3047,20240720,2.622,-102.81,31.62,37,23.8,30.4,28.8,0,21.25,C,44.8,22.9,30.3
3047,20240721,2.622,-102.81,31.62,33.7,21.5,27.6,26.6,0,16.21,C,38.9,20.7,27.7
3047,20240722,2.622,-102.81,31.62,24.5,18.8,21.7,21.4,7.1,8.31,C,27.6,17.9,21.5
3047,20240723,2.622,-102.81,31.62,31.4,17.4,24.4,24.5,0,24.4,C,39.8,16.6,26.8
3047,20240724,2.622,-102.81,31.62,35,19.2,27.1,27.6,0,24.35,C,43.8,18.2,30.1
3047,20240725,2.622,-102.81,31.62,35.5,20.9,28.2,28.7,0,23.4,C,43.5,20,30.8
3047,20240726,2.622,-102.81,31.62,35.9,20.9,28.4,29,0,26.06,C,43.8,19.6,30.9
3047,20240727,2.622,-102.81,31.62,36.4,23.4,29.9,29.5,0,25.22,C,42,22.4,31.1
3047,20240728,2.622,-102.81,31.62,36.7,22.3,29.5,29.3,0,25.93,C,42,21.8,30.7
3047,20240729,2.622,-102.81,31.62,38,23.2,30.6,30.2,0,26.49,C,44.6,22.4,32
3047,20240730,2.622,-102.81,31.62,40.2,24.3,32.2,31.5,0,26.37,C,46,23.4,33.3
3047,20240731,2.622,-102.81,31.62,40.4,25.6,33,31.2,0,23,C,45.8,24.9,32.7
3047,20240801,2.622,-102.81,31.62,39.2,23.7,31.4,31.4,0,26.36,C,47.1,22.6,33.6
3047,20240802,2.622,-102.81,31.62,38.8,22.9,30.9,31.2,0,26.53,C,46.2,22,33.1
3047,20240803,2.622,-102.81,31.62,38.3,22.5,30.4,29,1.8,18.67,C,46.6,21.5,30.7
3047,20240804,2.622,-102.81,31.62,35.2,22.6,28.9,28.4,0,16.82,C,41.4,21.4,29.4
3047,20240805,2.622,-102.81,31.62,36.2,20.4,28.3,28.5,0,25.29,C,42.9,19.4,30.3
3047,20240806,2.622,-102.81,31.62,37.5,21.9,29.7,30.4,0,26.61,C,45.7,20.9,32.5
3047,20240807,2.622,-102.81,31.62,40.5,19.9,30.2,31.7,0,26.63,C,49.1,19.2,33.8
3047,20240808,2.622,-102.81,31.62,41.6,21.9,31.7,33,0,26,C,49.9,21,35.2
3047,20240809,2.622,-102.81,31.62,37.5,24.8,31.2,31.5,0,25.71,C,43.2,24.3,33.2
3047,20240810,2.622,-102.81,31.62,38.1,24.4,31.3,31.3,0,26.08,C,44.2,23.5,32.8
3047,20240811,2.622,-102.81,31.62,38.8,25.3,32,32.1,0,26.22,C,46.7,24.6,34
3047,20240812,2.622,-102.81,31.62,38.7,25.5,32.1,31.9,0,26.1,C,45.2,24.7,33.4
3047,20240813,2.622,-102.81,31.62,38.1,25.9,32,31.6,0,25.94,C,43.8,25.1,33.2
3047,20240814,2.622,-102.81,31.62,39.1,26.1,32.6,31.5,0.4,21.15,C,47.7,25.5,33.1
3047,20240815,2.622,-102.81,31.62,39.8,25.7,32.8,32.6,0,24.06,C,47.9,25,34.7
3047,20240816,2.622,-102.81,31.62,38.5,25.5,32,32.3,0,25.69,C,44.3,24.6,33.8
3047,20240817,2.622,-102.81,31.62,38.6,25.2,31.9,32,0,25.94,C,44.6,24.2,33.7
3047,20240818,2.622,-102.81,31.62,38.4,23.3,30.8,31.5,0,25.96,C,44.3,22.3,33.2
3047,20240819,2.622,-102.81,31.62,38.2,23.2,30.7,31.5,0,25.82,C,45.7,22.1,33.4
3047,20240820,2.622,-102.81,31.62,39.7,23.3,31.5,31.9,0,25.4,C,45.4,22.1,33.4
3047,20240821,2.622,-102.81,31.62,41.5,23.6,32.5,33.7,0,25.05,C,48.2,22.4,35.1
3047,20240822,2.622,-102.81,31.62,41.8,23.8,32.8,34.3,0,24.84,C,49.3,23,35.8
3047,20240823,2.622,-102.81,31.62,42.2,25.4,33.8,33.8,0,23.04,C,48.8,23.8,35.2
3047,20240824,2.622,-102.81,31.62,40.3,26.3,33.3,33.2,0,24.87,C,47.4,25.4,34.9
3047,20240825,2.622,-102.81,31.62,36.8,24.6,30.7,30.9,0,24.47,C,42.2,23.8,32.5
3047,20240826,2.622,-102.81,31.62,35.3,24.6,29.9,29.7,0,19.43,C,42.4,24,31
3047,20240827,2.622,-102.81,31.62,35.1,22.4,28.8,28.6,0,23.28,C,44.8,21.6,31
3047,20240828,2.622,-102.81,31.62,35.3,21.3,28.3,27.7,0,23.68,C,45.4,20.6,30.4
3047,20240829,2.622,-102.81,31.62,35.6,19.3,27.5,25.6,24.4,19.78,C,43.5,18.5,27.1
3047,20240830,2.622,-102.81,31.62,33.6,21.5,27.6,24.9,27.6,18.38,C,40.2,20.1,26
3047,20240831,2.622,-102.81,31.62,30.5,21.2,25.9,24.5,0,13.48,C,39.5,20.4,25.6
3047,20240901,2.622,-102.81,31.62,27.8,19.6,23.7,23.3,15.1,5.57,C,31.3,19.1,23.3
